"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","EMPLOYMENT_STATUS","EMPLOYMENT_STATUS_NAME","EMPLOYMENT_STATUS_CODE","EMPLOYMENT_STATUS_TYPE","EMPLOYMENT_STATUS_TYPECODE","EMPLOYMENT_STATUS_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264108","46380 : Wholesale of other food, including fish, crustaceans and molluscs","46380","SIC 2007 subclass (5 digit)",32,386,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",200,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264108d0d3d1d3d20100",1159,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264108","46380 : Wholesale of other food, including fish, crustaceans and molluscs","46380","SIC 2007 subclass (5 digit)",32,386,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",2250,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264108d0d4d1d3d20100",1160,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264118","46390 : Non-specialised wholesale of food, beverages and tobacco","46390","SIC 2007 subclass (5 digit)",32,387,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",5000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264118d0d2d1d3d20100",1161,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264118","46390 : Non-specialised wholesale of food, beverages and tobacco","46390","SIC 2007 subclass (5 digit)",32,387,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",800,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264118d0d3d1d3d20100",1162,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264118","46390 : Non-specialised wholesale of food, beverages and tobacco","46390","SIC 2007 subclass (5 digit)",32,387,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",6000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264118d0d4d1d3d20100",1163,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264138","46410 : Wholesale of textiles","46410","SIC 2007 subclass (5 digit)",32,388,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",300,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264138d0d2d1d3d20100",1164,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264138","46410 : Wholesale of textiles","46410","SIC 2007 subclass (5 digit)",32,388,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",100,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264138d0d3d1d3d20100",1165,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264138","46410 : Wholesale of textiles","46410","SIC 2007 subclass (5 digit)",32,388,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",450,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264138d0d4d1d3d20100",1166,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264148","46420 : Wholesale of clothing and footwear","46420","SIC 2007 subclass (5 digit)",32,389,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",2000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264148d0d2d1d3d20100",1167,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264148","46420 : Wholesale of clothing and footwear","46420","SIC 2007 subclass (5 digit)",32,389,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",450,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264148d0d3d1d3d20100",1168,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264148","46420 : Wholesale of clothing and footwear","46420","SIC 2007 subclass (5 digit)",32,389,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",2500,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264148d0d4d1d3d20100",1169,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264159","46431 : Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played","46431","SIC 2007 subclass (5 digit)",32,390,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",15,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264159d0d2d1d3d20100",1170,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264159","46431 : Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played","46431","SIC 2007 subclass (5 digit)",32,390,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",10,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264159d0d3d1d3d20100",1171,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264159","46431 : Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played","46431","SIC 2007 subclass (5 digit)",32,390,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264159d0d4d1d3d20100",1172,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264167","46439 : Wholesale of radio and television goods and of electrical household appliances (other than of gramophone records, audio tapes, compact discs and video tapes and the equipment on which these are played) n.e.c.","46439","SIC 2007 subclass (5 digit)",32,391,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",450,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264167d0d2d1d3d20100",1173,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264167","46439 : Wholesale of radio and television goods and of electrical household appliances (other than of gramophone records, audio tapes, compact discs and video tapes and the equipment on which these are played) n.e.c.","46439","SIC 2007 subclass (5 digit)",32,391,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",100,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264167d0d3d1d3d20100",1174,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264167","46439 : Wholesale of radio and television goods and of electrical household appliances (other than of gramophone records, audio tapes, compact discs and video tapes and the equipment on which these are played) n.e.c.","46439","SIC 2007 subclass (5 digit)",32,391,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",500,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264167d0d4d1d3d20100",1175,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264168","46440 : Wholesale of china and glassware and cleaning materials","46440","SIC 2007 subclass (5 digit)",32,392,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",250,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264168d0d2d1d3d20100",1176,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264168","46440 : Wholesale of china and glassware and cleaning materials","46440","SIC 2007 subclass (5 digit)",32,392,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",40,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264168d0d3d1d3d20100",1177,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264168","46440 : Wholesale of china and glassware and cleaning materials","46440","SIC 2007 subclass (5 digit)",32,392,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",300,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264168d0d4d1d3d20100",1178,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264178","46450 : Wholesale of perfume and cosmetics","46450","SIC 2007 subclass (5 digit)",32,393,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",400,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264178d0d2d1d3d20100",1179,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264178","46450 : Wholesale of perfume and cosmetics","46450","SIC 2007 subclass (5 digit)",32,393,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",500,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264178d0d3d1d3d20100",1180,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264178","46450 : Wholesale of perfume and cosmetics","46450","SIC 2007 subclass (5 digit)",32,393,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",900,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264178d0d4d1d3d20100",1181,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264188","46460 : Wholesale of pharmaceutical goods","46460","SIC 2007 subclass (5 digit)",32,394,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",1750,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264188d0d2d1d3d20100",1182,2187
